武器类别	战斗站立	普通站立1	普通站立2	战斗行走	普通行走	战斗跑步	普通跑步	受伤	死亡	攻击1	攻击2	魔法	打坐	跳跃
enemy003	enemy003_st.spr	enemy003_st.spr	enemy003_pst.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_wlk.spr	enemy003_bat.spr	enemy003_die.spr	enemy003_at.spr	enemy003_at.spr	enemy003_at.spr		
enemy004	enemy004_st.spr	enemy004_st.spr	enemy004_pst.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_wlk.spr	enemy004_bat.spr	enemy004_die.spr	enemy004_at.spr	enemy004_at.spr	enemy004_at.spr		
enemy005	enemy005_st.spr	enemy005_st.spr	enemy005_pst.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_wlk.spr	enemy005_bat.spr	enemy005_die.spr	enemy005_at.spr	enemy005_at.spr	enemy005_at.spr		
enemy006	enemy006_st.spr	enemy006_st.spr	enemy006_pst.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_wlk.spr	enemy006_bat.spr	enemy006_die.spr	enemy006_at.spr	enemy006_at.spr	enemy006_at.spr		
enemy007	enemy007_st.spr	enemy007_st.spr	enemy007_pst.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_wlk.spr	enemy007_bat.spr	enemy007_die.spr	enemy007_at.spr	enemy007_at.spr	enemy007_at.spr		
enemy015	enemy015_st.spr	enemy015_st.spr	enemy015_pst.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_wlk.spr	enemy015_bat.spr	enemy015_die.spr	enemy015_at.spr	enemy015_at.spr	enemy015_at.spr		
enemy016	enemy016_st.spr	enemy016_st.spr	enemy016_pst.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_wlk.spr	enemy016_bat.spr	enemy016_die.spr	enemy016_at.spr	enemy016_at.spr	enemy016_at.spr		
enemy017	enemy017_st.spr	enemy017_st.spr	enemy017_pst.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_wlk.spr	enemy017_bat.spr	enemy017_die.spr	enemy017_at.spr	enemy017_at.spr	enemy017_at.spr		
enemy021	enemy021_st.spr	enemy021_st.spr	enemy021_pst.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_wlk.spr	enemy021_bat.spr	enemy021_die.spr	enemy021_at.spr	enemy021_at.spr	enemy021_at.spr		
enemy022	enemy022_st.spr	enemy022_st.spr	enemy022_pst.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_wlk.spr	enemy022_bat.spr	enemy022_die.spr	enemy022_at.spr	enemy022_at.spr	enemy022_at.spr		
enemy023	enemy023_st.spr	enemy023_st.spr	enemy023_pst.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_wlk.spr	enemy023_bat.spr	enemy023_die.spr	enemy023_at.spr	enemy023_at.spr	enemy023_at.spr		
enemy024	enemy024_st.spr	enemy024_st.spr	enemy024_pst.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_wlk.spr	enemy024_bat.spr	enemy024_die.spr	enemy024_at.spr	enemy024_at.spr	enemy024_at.spr		
enemy026	enemy026_st.spr	enemy026_st.spr	enemy026_pst.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_wlk.spr	enemy026_bat.spr	enemy026_die.spr	enemy026_at.spr	enemy026_at.spr	enemy026_at.spr		
enemy028	enemy028_st.spr	enemy028_st.spr	enemy028_pst.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_wlk.spr	enemy028_bat.spr	enemy028_die.spr	enemy028_at.spr	enemy028_at.spr	enemy028_at.spr		
enemy029	enemy029_st.spr	enemy029_st.spr	enemy029_pst.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_wlk.spr	enemy029_bat.spr	enemy029_die.spr	enemy029_at.spr	enemy029_at.spr	enemy029_at.spr		
passerby154	passerby154_st.spr	passerby154_st.spr	passerby154_pst.spr
passerby157	passerby157_st.spr	passerby157_st.spr	passerby157_pst.spr
passerby159	passerby159_st.spr	passerby159_st.spr	passerby159_pst.spr
passerby163	passerby163_st.spr	passerby163_st.spr	passerby163_pst.spr
passerby164	passerby164_st.spr	passerby164_st.spr	passerby164_pst.spr
passerby165	passerby165_st.spr	passerby165_st.spr	passerby165_pst.spr
passerby167	passerby167_st.spr	passerby167_st.spr	passerby167_pst.spr
passerby168	passerby168_st.spr	passerby168_st.spr	passerby168_pst.spr
passerby169	passerby169_st.spr	passerby169_st.spr	passerby169_pst.spr
passerby170	passerby170_st.spr	passerby170_st.spr	passerby170_pst.spr
passerby171	passerby171_st.spr	passerby171_st.spr	passerby171_pst.spr
passerby172	passerby172_st.spr	passerby172_st.spr	passerby172_pst.spr
passerby173	passerby173_st.spr	passerby173_st.spr	passerby173_pst.spr
passerby174	passerby174_st.spr	passerby174_st.spr	passerby174_pst.spr
passerby175	passerby175_st.spr	passerby175_st.spr	passerby175_pst.spr
passerby176	passerby176_st.spr	passerby176_st.spr	passerby176_pst.spr
passerby177	passerby177_st.spr	passerby177_st.spr	passerby177_pst.spr
passerby178	passerby178_st.spr	passerby178_st.spr	passerby178_pst.spr
passerby179	passerby179_st.spr	passerby179_st.spr	passerby179_pst.spr
passerby180	passerby180_st.spr	passerby180_st.spr	passerby180_pst.spr
passerby181	passerby181_st.spr	passerby181_st.spr	passerby181_pst.spr
passerby182	passerby182_st.spr	passerby182_st.spr	passerby182_pst.spr
passerby183	passerby183_st.spr	passerby183_st.spr	passerby183_pst.spr
passerby184	passerby184_st.spr	passerby184_st.spr	passerby184_pst.spr
passerby185	passerby185_st.spr	passerby185_st.spr	passerby185_pst.spr
passerby186	passerby186_st.spr	passerby186_st.spr	passerby186_pst.spr
passerby187	passerby187_st.spr	passerby187_st.spr	passerby187_pst.spr
passerby188	passerby188_st.spr	passerby188_st.spr	passerby188_pst.spr
passerby189	passerby189_st.spr	passerby189_st.spr	passerby189_pst.spr
passerby190	passerby190_st.spr	passerby190_st.spr	passerby190_pst.spr
passerby191	passerby191_st.spr	passerby191_st.spr	passerby191_st.spr
passerby004_4	passerby004z.spr	passerby004z.spr	passerby004z.spr
passerby006_4	passerby006z.spr	passerby006z.spr	passerby006z.spr
passerby007_1	passerby007s.spr	passerby007s.spr	passerby007s.spr
passerby011_4	passerby011z.spr	passerby011z.spr	passerby011z.spr
passerby036_4	passerby036z.spr	passerby036z.spr	passerby036z.spr
passerby037_4	passerby037z.spr	passerby037z.spr	passerby037z.spr
passerby040_4	passerby040z.spr	passerby040z.spr	passerby040z.spr
passerby043_1	passerby043s.spr	passerby043s.spr	passerby043s.spr
passerby044_1	passerby044s.spr	passerby044s.spr	passerby044s.spr
passerby045_1	passerby045s.spr	passerby045s.spr	passerby045s.spr
passerby059_1	passerby059s.spr	passerby059s.spr	passerby059s.spr
passerby067_4	passerby067s1.spr	passerby067s1.spr	passerby067s1.spr
passerby067_5	passerby067s2.spr	passerby067s2.spr	passerby067s2.spr
passerby067_6	passerby067s3.spr	passerby067s3.spr	passerby067s3.spr
passerby068_4	passerby068s1.spr	passerby068s1.spr	passerby068s1.spr
passerby068_5	passerby068s2.spr	passerby068s2.spr	passerby068s2.spr
passerby068_6	passerby068s3.spr	passerby068s3.spr	passerby068s3.spr
passerby072_4	passerby072z.spr	passerby072z.spr	passerby072z.spr
passerby074_4	passerby074s1.spr	passerby074s1.spr	passerby074s1.spr
passerby074_5	passerby074s2.spr	passerby074s2.spr	passerby074s2.spr		
passerby074_6	passerby074s3.spr	passerby074s3.spr	passerby074s3.spr		
passerby075_4	passerby075z.spr	passerby075z.spr	passerby075z.spr		
passerby076_4	passerby076z.spr	passerby076z.spr	passerby076z.spr		
critter001	critter001_st.spr	critter001_st.spr	critter001_pst.spr		
critter002	critter002_st.spr	critter002_st.spr	critter002_pst.spr		
critter003	critter003_st.spr	critter003_st.spr	critter003_pst.spr	critter003_wlk.spr	critter003_wlk.spr
critter004	critter004_st.spr	critter004_st.spr	critter004_pst.spr	critter004_wlk.spr	critter004_wlk.spr
critter005	critter005_st.spr	critter005_st.spr	critter005_st.spr	critter005_wlk.spr	critter005_wlk.spr
critter006	critter006_st.spr	critter006_st.spr	critter006_pst.spr		
critter007	critter007_st.spr	critter007_st.spr	critter007_pst.spr		
critter008	critter008_st.spr	critter008_st.spr	critter008_pst.spr		
critter009	critter009_st.spr	critter009_st.spr	critter009_pst.spr		
critter010	critter010_st.spr	critter010_st.spr	critter010_pst.spr		
critter011	critter011_st.spr	critter011_st.spr	critter011_pst.spr		
critter012	critter012_st.spr	critter012_st.spr	critter012_pst.spr		
critter013	critter013_st.spr	critter013_st.spr	critter013_pst.spr	critter013_wlk.spr	critter013_wlk.spr
critter014	critter014_st.spr	critter014_st.spr	critter014_pst.spr		
critter015	critter015_st.spr	critter015_st.spr	critter015_pst.spr	critter015_wlk.spr	critter015_wlk.spr
critter016	critter016_st.spr	critter016_st.spr	critter016_pst.spr	critter016_wlk.spr	critter016_wlk.spr
critter017	critter017_wlk.spr	critter017_wlk.spr	critter017_wlk.spr	critter017_wlk.spr	critter017_wlk.spr
critter018	critter018_wlk.spr	critter018_wlk.spr	critter018_wlk.spr	critter018_wlk.spr	critter018_wlk.spr
critter019	critter019_wlk.spr	critter019_wlk.spr	critter019_wlk.spr	critter019_wlk.spr	critter019_wlk.spr
critter020	critter020_wlk.spr	critter020_wlk.spr	critter020_wlk.spr	critter020_wlk.spr	critter020_wlk.spr
critter021	critter021_wlk.spr	critter021_wlk.spr	critter021_wlk.spr	critter021_wlk.spr	critter021_wlk.spr
critter022	critter022_wlk.spr	critter022_wlk.spr	critter022_wlk.spr	critter022_wlk.spr	critter022_wlk.spr
critter023	critter023_wlk.spr	critter023_wlk.spr	critter023_wlk.spr	critter023_wlk.spr	critter023_wlk.spr
critter024	critter024_wlk.spr	critter024_wlk.spr	critter024_wlk.spr	critter024_wlk.spr	critter024_wlk.spr
critter025	critter025_wlk.spr	critter025_wlk.spr	critter025_wlk.spr	critter025_wlk.spr	critter025_wlk.spr
critter026	critter026_wlk.spr	critter026_wlk.spr	critter026_wlk.spr	critter026_wlk.spr	critter026_wlk.spr
critter027	critter027_st.spr	critter027_st.spr	critter027_st.spr	critter027_wlk.spr	critter027_wlk.spr
critter028	critter028_st.spr	critter028_st.spr	critter028_st.spr	critter028_wlk.spr	critter028_wlk.spr
critter029	critter029_st.spr	critter029_st.spr	critter029_st.spr	critter029_wlk.spr	critter029_wlk.spr
critter030	critter030_wlk.spr	critter030_wlk.spr	critter030_wlk.spr	critter030_wlk.spr	critter030_wlk.spr
